Industry Sector,Injury/Illness Year,Age Group,Gender,AllowedLostTime
Agriculture,2011,15-19,Female,20
Agriculture,2011,20-24,Female,40
Agriculture,2011,25-29,Female,37
Agriculture,2011,30-34,Female,27
Agriculture,2011,35-39,Female,23
Agriculture,2011,40-44,Female,19
Agriculture,2011,45-49,Female,23
Agriculture,2011,50-54,Female,21
Agriculture,2011,55-59,Female,7
Agriculture,2011,60-64,Female,8
Agriculture,2011,65+,Female,5
Agriculture,2011,NA,Female,0
Agriculture,2012,15-19,Female,25
Agriculture,2012,20-24,Female,55
Agriculture,2012,25-29,Female,35
Agriculture,2012,30-34,Female,22
Agriculture,2012,35-39,Female,30
Agriculture,2012,40-44,Female,21
Agriculture,2012,45-49,Female,27
Agriculture,2012,50-54,Female,27
Agriculture,2012,55-59,Female,9
Agriculture,2012,60-64,Female,2
Agriculture,2012,65+,Female,2
Agriculture,2012,NA,Female,0
Agriculture,2013,15-19,Female,23
Agriculture,2013,20-24,Female,46
Agriculture,2013,25-29,Female,27
Agriculture,2013,30-34,Female,25
Agriculture,2013,35-39,Female,22
Agriculture,2013,40-44,Female,26
Agriculture,2013,45-49,Female,27
Agriculture,2013,50-54,Female,24
Agriculture,2013,55-59,Female,20
Agriculture,2013,60-64,Female,7
Agriculture,2013,65+,Female,4
Agriculture,2013,NA,Female,0
Agriculture,2014,15-19,Female,13
Agriculture,2014,20-24,Female,55
Agriculture,2014,25-29,Female,30
Agriculture,2014,30-34,Female,20
Agriculture,2014,35-39,Female,22
Agriculture,2014,40-44,Female,8
Agriculture,2014,45-49,Female,22
Agriculture,2014,50-54,Female,27
Agriculture,2014,55-59,Female,22
Agriculture,2014,60-64,Female,9
Agriculture,2014,65+,Female,1
Agriculture,2014,NA,Female,0
Agriculture,2015,15-19,Female,20
Agriculture,2015,20-24,Female,46
Agriculture,2015,25-29,Female,44
Agriculture,2015,30-34,Female,15
Agriculture,2015,35-39,Female,14
Agriculture,2015,40-44,Female,15
Agriculture,2015,45-49,Female,27
Agriculture,2015,50-54,Female,19
Agriculture,2015,55-59,Female,15
Agriculture,2015,60-64,Female,11
Agriculture,2015,65+,Female,2
Agriculture,2015,NA,Female,2
Agriculture,2016,15-19,Female,27
Agriculture,2016,20-24,Female,58
Agriculture,2016,25-29,Female,40
Agriculture,2016,30-34,Female,27
Agriculture,2016,35-39,Female,18
Agriculture,2016,40-44,Female,19
Agriculture,2016,45-49,Female,18
