Industry Sector,Injury/Illness Year,Age Group,Gender,NoLostTime
Agriculture,2011,15-19,Female,22
Agriculture,2011,20-24,Female,74
Agriculture,2011,25-29,Female,69
Agriculture,2011,30-34,Female,46
Agriculture,2011,35-39,Female,24
Agriculture,2011,40-44,Female,31
Agriculture,2011,45-49,Female,44
Agriculture,2011,50-54,Female,43
Agriculture,2011,55-59,Female,22
Agriculture,2011,60-64,Female,9
Agriculture,2011,65+,Female,3
Agriculture,2011,NA,Female,3
Agriculture,2012,15-19,Female,29
Agriculture,2012,20-24,Female,75
Agriculture,2012,25-29,Female,54
Agriculture,2012,30-34,Female,57
Agriculture,2012,35-39,Female,29
Agriculture,2012,40-44,Female,40
Agriculture,2012,45-49,Female,48
Agriculture,2012,50-54,Female,35
Agriculture,2012,55-59,Female,27
Agriculture,2012,60-64,Female,15
Agriculture,2012,65+,Female,5
Agriculture,2012,NA,Female,1
Agriculture,2013,15-19,Female,28
Agriculture,2013,20-24,Female,83
Agriculture,2013,25-29,Female,83
Agriculture,2013,30-34,Female,51
Agriculture,2013,35-39,Female,40
Agriculture,2013,40-44,Female,46
Agriculture,2013,45-49,Female,29
Agriculture,2013,50-54,Female,29
Agriculture,2013,55-59,Female,29
Agriculture,2013,60-64,Female,11
Agriculture,2013,65+,Female,2
Agriculture,2013,NA,Female,6
Agriculture,2014,15-19,Female,38
Agriculture,2014,20-24,Female,80
Agriculture,2014,25-29,Female,62
Agriculture,2014,30-34,Female,54
Agriculture,2014,35-39,Female,47
Agriculture,2014,40-44,Female,30
Agriculture,2014,45-49,Female,37
Agriculture,2014,50-54,Female,35
Agriculture,2014,55-59,Female,23
Agriculture,2014,60-64,Female,14
Agriculture,2014,65+,Female,3
Agriculture,2014,NA,Female,2
Agriculture,2015,15-19,Female,36
Agriculture,2015,20-24,Female,98
Agriculture,2015,25-29,Female,68
Agriculture,2015,30-34,Female,34
Agriculture,2015,35-39,Female,45
Agriculture,2015,40-44,Female,39
Agriculture,2015,45-49,Female,25
Agriculture,2015,50-54,Female,44
Agriculture,2015,55-59,Female,29
Agriculture,2015,60-64,Female,7
Agriculture,2015,65+,Female,3
Agriculture,2015,NA,Female,2
Agriculture,2016,15-19,Female,32
Agriculture,2016,20-24,Female,97
Agriculture,2016,25-29,Female,62
Agriculture,2016,30-34,Female,47
Agriculture,2016,35-39,Female,29
Agriculture,2016,40-44,Female,28
Agriculture,2016,45-49,Female,45
Agriculture,2016,50-54,Female,31
Agriculture,2016,55-59,Female,35
Agriculture,2016,60-64,Female,7
Agriculture,2016,65+,Female,4
Agriculture,2016,NA,Female,2
Agriculture,2017,15-19,Female,32
Agriculture,2017,20-24,Female,105
Agriculture,2017,25-29,Female,70
Agriculture,2017,30-34,Female,50
Agriculture,2017,35-39,Female,25
Agriculture,2017,40-44,Female,37
Agriculture,2017,45-49,Female,30
Agriculture,2017,50-54,Female,50
Agriculture,2017,55-59,Female,35
Agriculture,2017,60-64,Female,17
Agriculture,2017,65+,Female,7
Agriculture,2017,NA,Female,2
Agriculture,2018,15-19,Female,42
Agriculture,2018,20-24,Female,84
Agriculture,2018,25-29,Female,76
Agriculture,2018,30-34,Female,54
Agriculture,2018,35-39,Female,41
Agriculture,2018,40-44,Female,31
Agriculture,2018,45-49,Female,36
Agriculture,2018,50-54,Female,39
Agriculture,2018,55-59,Female,51
Agriculture,2018,60-64,Female,13
Agriculture,2018,65+,Female,8
Agriculture,2018,NA,Female,1
Agriculture,2019,15-19,Female,33
Agriculture,2019,20-24,Female,110
Agriculture,2019,25-29,Female,85
Agriculture,2019,30-34,Female,71
Agriculture,2019,35-39,Female,58
Agriculture,2019,40-44,Female,43
Agriculture,2019,45-49,Female,35
Agriculture,2019,50-54,Female,40
Agriculture,2019,55-59,Female,37
Agriculture,2019,60-64,Female,21
Agriculture,2019,65+,Female,9
Agriculture,2019,NA,Female,3
Automotive,2011,15-19,Female,27
Automotive,2011,20-24,Female,116
Automotive,2011,25-29,Female,132
Automotive,2011,30-34,Female,197
Automotive,2011,35-39,Female,309
Automotive,2011,40-44,Female,327
Automotive,2011,45-49,Female,425
Automotive,2011,50-54,Female,363
Automotive,2011,55-59,Female,178
Automotive,2011,60-64,Female,47
Automotive,2011,65+,Female,6
Automotive,2011,NA,Female,3
Automotive,2012,15-19,Female,49
Automotive,2012,20-24,Female,210
Automotive,2012,25-29,Female,152
Automotive,2012,30-34,Female,224
Automotive,2012,35-39,Female,275
Automotive,2012,40-44,Female,369
Automotive,2012,45-49,Female,426
Automotive,2012,50-54,Female,380
Automotive,2012,55-59,Female,196
Automotive,2012,60-64,Female,66
Automotive,2012,65+,Female,15
Automotive,2012,NA,Female,2
Automotive,2013,15-19,Female,30
Automotive,2013,20-24,Female,144
Automotive,2013,25-29,Female,146
Automotive,2013,30-34,Female,197
Automotive,2013,35-39,Female,294
Automotive,2013,40-44,Female,344
Automotive,2013,45-49,Female,430
Automotive,2013,50-54,Female,378
Automotive,2013,55-59,Female,206
Automotive,2013,60-64,Female,81
Automotive,2013,65+,Female,7
Automotive,2013,NA,Female,3
Automotive,2014,15-19,Female,46
Automotive,2014,20-24,Female,195
Automotive,2014,25-29,Female,140
Automotive,2014,30-34,Female,189
Automotive,2014,35-39,Female,231
Automotive,2014,40-44,Female,319
Automotive,2014,45-49,Female,371
Automotive,2014,50-54,Female,398
Automotive,2014,55-59,Female,215
Automotive,2014,60-64,Female,92
Automotive,2014,65+,Female,21
Automotive,2014,NA,Female,3
Automotive,2015,15-19,Female,59
Automotive,2015,20-24,Female,209
Automotive,2015,25-29,Female,185
Automotive,2015,30-34,Female,180
Automotive,2015,35-39,Female,205
Automotive,2015,40-44,Female,307
Automotive,2015,45-49,Female,298
Automotive,2015,50-54,Female,385
Automotive,2015,55-59,Female,229
Automotive,2015,60-64,Female,91
Automotive,2015,65+,Female,15
Automotive,2015,NA,Female,0
Automotive,2016,15-19,Female,63
Automotive,2016,20-24,Female,261
Automotive,2016,25-29,Female,229
Automotive,2016,30-34,Female,200
Automotive,2016,35-39,Female,227
Automotive,2016,40-44,Female,299
Automotive,2016,45-49,Female,306
Automotive,2016,50-54,Female,348
Automotive,2016,55-59,Female,241
Automotive,2016,60-64,Female,97
Automotive,2016,65+,Female,23
Automotive,2016,NA,Female,0
Automotive,2017,15-19,Female,55
Automotive,2017,20-24,Female,281
Automotive,2017,25-29,Female,236
Automotive,2017,30-34,Female,190
Automotive,2017,35-39,Female,221
Automotive,2017,40-44,Female,279
Automotive,2017,45-49,Female,377
Automotive,2017,50-54,Female,363
Automotive,2017,55-59,Female,256
Automotive,2017,60-64,Female,110
Automotive,2017,65+,Female,21
Automotive,2017,NA,Female,0
Automotive,2018,15-19,Female,51
Automotive,2018,20-24,Female,241
Automotive,2018,25-29,Female,208
Automotive,2018,30-34,Female,193
Automotive,2018,35-39,Female,223
Automotive,2018,40-44,Female,262
Automotive,2018,45-49,Female,342
Automotive,2018,50-54,Female,373
Automotive,2018,55-59,Female,273
Automotive,2018,60-64,Female,104
Automotive,2018,65+,Female,29
Automotive,2018,NA,Female,0
Automotive,2019,15-19,Female,47
Automotive,2019,20-24,Female,219
Automotive,2019,25-29,Female,233
Automotive,2019,30-34,Female,177
Automotive,2019,35-39,Female,225
Automotive,2019,40-44,Female,299
Automotive,2019,45-49,Female,325
Automotive,2019,50-54,Female,316
Automotive,2019,55-59,Female,268
Automotive,2019,60-64,Female,148
Automotive,2019,65+,Female,31
Automotive,2019,NA,Female,0
Chemicals/Process,2011,15-19,Female,2
Chemicals/Process,2011,20-24,Female,28
Chemicals/Process,2011,25-29,Female,40
Chemicals/Process,2011,30-34,Female,45
Chemicals/Process,2011,35-39,Female,81
Chemicals/Process,2011,40-44,Female,94
Chemicals/Process,2011,45-49,Female,132
Chemicals/Process,2011,50-54,Female,105
Chemicals/Process,2011,55-59,Female,72
Chemicals/Process,2011,60-64,Female,32
Chemicals/Process,2011,65+,Female,12
Chemicals/Process,2011,NA,Female,1
Chemicals/Process,2012,15-19,Female,6
Chemicals/Process,2012,20-24,Female,25
Chemicals/Process,2012,25-29,Female,38
Chemicals/Process,2012,30-34,Female,48
Chemicals/Process,2012,35-39,Female,70
Chemicals/Process,2012,40-44,Female,90
Chemicals/Process,2012,45-49,Female,84
Chemicals/Process,2012,50-54,Female,107
Chemicals/Process,2012,55-59,Female,81
Chemicals/Process,2012,60-64,Female,27
Chemicals/Process,2012,65+,Female,13
Chemicals/Process,2012,NA,Female,0
Chemicals/Process,2013,15-19,Female,3
Chemicals/Process,2013,20-24,Female,28
Chemicals/Process,2013,25-29,Female,36
Chemicals/Process,2013,30-34,Female,53
Chemicals/Process,2013,35-39,Female,61
Chemicals/Process,2013,40-44,Female,83
Chemicals/Process,2013,45-49,Female,120
Chemicals/Process,2013,50-54,Female,109
Chemicals/Process,2013,55-59,Female,72
Chemicals/Process,2013,60-64,Female,29
Chemicals/Process,2013,65+,Female,11
Chemicals/Process,2013,NA,Female,1
Chemicals/Process,2014,15-19,Female,6
Chemicals/Process,2014,20-24,Female,28
Chemicals/Process,2014,25-29,Female,43
Chemicals/Process,2014,30-34,Female,48
Chemicals/Process,2014,35-39,Female,43
Chemicals/Process,2014,40-44,Female,69
Chemicals/Process,2014,45-49,Female,98
Chemicals/Process,2014,50-54,Female,93
Chemicals/Process,2014,55-59,Female,88
Chemicals/Process,2014,60-64,Female,31
Chemicals/Process,2014,65+,Female,13
Chemicals/Process,2014,NA,Female,1
Chemicals/Process,2015,15-19,Female,2
Chemicals/Process,2015,20-24,Female,50
Chemicals/Process,2015,25-29,Female,39
Chemicals/Process,2015,30-34,Female,44
Chemicals/Process,2015,35-39,Female,42
Chemicals/Process,2015,40-44,Female,82
Chemicals/Process,2015,45-49,Female,90
Chemicals/Process,2015,50-54,Female,109
Chemicals/Process,2015,55-59,Female,72
Chemicals/Process,2015,60-64,Female,39
Chemicals/Process,2015,65+,Female,14
