,FV_D,FV_M,FV_DATE,VISIT_CODE,WP_ID,NAICS,RegCode,INDCode,HICCode,HICPerCode,E1524Code,E2554Code,E55pCode,ConCode,Claims_Code
16809,29,6,2019-06-29,2019-06-29 2093649,2093649,812115,3,10,1,2,1,1,2,1,1
13753,25,2,2019-02-25,2019-02-25 1095872,1095872,812330,2,10,2,2,1,1,2,4,1
10215,19,6,2019-06-19,2019-06-19 2091294,2091294,812190,2,10,2,2,1,1,2,4,1
19163,6,5,2019-05-06,2019-05-06 2029237,2029237,238990,4,4,5,5,2,2,2,1,3
18670,25,10,2019-10-25,2019-10-25 2125435,2125435,236110,4,4,5,5,2,2,2,3,3
148,15,3,2019-03-15,2019-03-15 2070117,2070117,238160,1,4,4,5,2,2,2,3,2
4274,7,11,2019-11-07,2019-11-07 2114863,2114863,236110,1,4,4,5,2,2,2,3,2
768,20,2,2019-02-20,2019-02-20 1171877,1171877,337110,1,5,3,1,1,1,2,4,3
8218,20,8,2019-08-20,2019-08-20 2107825,2107825,519190,2,12,7,1,2,1,1,1,5
26252,10,10,2019-10-10,2019-10-10 429753,429753,327990,5,5,1,1,1,1,2,3,1
5581,4,1,2019-01-04,2019-01-04 2034081,2034081,238990,2,4,6,4,2,2,2,3,4
15656,29,8,2019-08-29,2019-08-29 2109715,2109715,236110,3,4,2,3,2,2,2,4,2
15206,4,6,2019-06-04,2019-06-04 2088003,2088003,448210,3,12,7,1,2,1,1,1,5
13694,19,8,2019-08-19,2019-08-19 1960455,1960455,236220,2,4,6,4,2,2,2,1,4
12559,28,10,2019-10-28,2019-10-28 1892898,1892898,325210,2,5,7,2,1,1,2,2,5
22703,23,5,2019-05-23,2019-05-23 2084490,2084490,561730,4,12,7,1,2,1,1,1,5
10787,26,9,2019-09-26,2019-09-26 1166820,1166820,623993,2,8,5,2,1,2,1,1,4
7983,1,4,2019-04-01,2019-04-01 1909766,1909766,236110,2,4,6,4,2,2,2,1,4
445,20,6,2019-06-20,2019-06-20 1153881,1153881,442210,1,12,6,1,2,1,1,4,5
23243,3,5,2019-05-03,2019-05-03 2080413,2080413,238160,4,4,5,5,2,2,2,1,3
14156,30,8,2019-08-30,2019-08-30 2110046,2110046,238210,2,4,6,4,2,2,2,3,4
6650,9,5,2019-05-09,2019-05-09 1673282,1673282,236110,2,4,6,4,2,2,2,3,4
1862,29,8,2019-08-29,2019-08-29 2097679,2097679,236110,1,4,4,5,2,2,2,3,2
19431,17,4,2019-04-17,2019-04-17 1929844,1929844,443143,4,12,7,1,2,1,1,3,5
4569,7,10,2019-10-07,2019-10-07 2102310,2102310,236110,1,4,4,5,2,2,2,1,2
22958,17,5,2019-05-17,2019-05-17 2041405,2041405,236110,4,4,5,5,2,2,2,3,3
