Industry Sector,Age Group,Year,NoLostTime,Lost Time,Deaths,,,,,,,,,,,,,
Agriculture,15-19,2015,139,68,0,,,,,,,,,,,,,
Agriculture,20-24,2015,387,232,0,,,,,,,,,,,,,
Agriculture,25-29,2015,283,180,0,,,,,,,,,,,,,
Agriculture,30-34,2015,210,138,0,,,,,,,,,,,,,
Agriculture,35-39,2015,205,103,1,,,,,,,,,,,,,
Agriculture,40-44,2015,190,107,0,,,,,,,,,,,,,
Agriculture,45-49,2015,156,112,0,,,,,,,,,,,,,
Agriculture,50-54,2015,156,95,0,,,,,,,,,,,,,
Agriculture,55-59,2015,107,62,0,,,,,,,,,,,,,
Agriculture,60-64,2015,64,39,0,,,,,,,,,,,,,
Agriculture,65+,2015,34,18,1,,,,,,,,,,,,,
Agriculture,Not Available,2015,7,3,0,,,,,,,,,,,,,
Automotive,15-19,2015,186,27,0,,,,,,,,,,,,,
Automotive,20-24,2015,801,110,0,,,,,,,,,,,,,
Automotive,25-29,2015,743,102,0,,,,,,,,,,,,,
Automotive,30-34,2015,809,115,0,,,,,,,,,,,,,
Automotive,35-39,2015,859,147,0,,,,,,,,,,,,,
Automotive,40-44,2015,998,192,0,,,,,,,,,,,,,
Automotive,45-49,2015,1096,218,0,,,,,,,,,,,,,
Automotive,50-54,2015,1215,250,0,,,,,,,,,,,,,
Automotive,55-59,2015,841,150,0,,,,,,,,,,,,,
Automotive,60-64,2015,358,93,0,,,,,,,,,,,,,
Automotive,65+,2015,131,21,1,,,,,,,,,,,,,
Automotive,Not Available,2015,5,0,0,,,,,,,,,,,,,
Chemicals/Process,15-19,2015,35,4,0,,,,,,,,,,,,,
Chemicals/Process,20-24,2015,176,44,0,,,,,,,,,,,,,
Chemicals/Process,25-29,2015,193,66,0,,,,,,,,,,,,,
Chemicals/Process,30-34,2015,216,64,0,,,,,,,,,,,,,
Chemicals/Process,35-39,2015,204,57,0,,,,,,,,,,,,,
Chemicals/Process,40-44,2015,292,69,0,,,,,,,,,,,,,
Chemicals/Process,45-49,2015,347,79,0,,,,,,,,,,,,,
Chemicals/Process,50-54,2015,353,96,1,,,,,,,,,,,,,
Chemicals/Process,55-59,2015,273,85,0,,,,,,,,,,,,,
Chemicals/Process,60-64,2015,140,44,1,,,,,,,,,,,,,
Chemicals/Process,65+,2015,100,24,0,,,,,,,,,,,,,
Chemicals/Process,Not Available,2015,1,0,0,,,,,,,,,,,,,
Construction,15-19,2015,474,115,0,,,,,,,,,,,,,
Construction,20-24,2015,1991,564,1,,,,,,,,,,,,,
Construction,25-29,2015,2328,625,1,,,,,,,,,,,,,
Construction,30-34,2015,2057,548,2,,,,,,,,,,,,,
Construction,35-39,2015,1608,474,4,,,,,,,,,,,,,
Construction,40-44,2015,1204,407,5,,,,,,,,,,,,,
Construction,45-49,2015,1265,479,2,,,,,,,,,,,,,
Construction,50-54,2015,1236,471,2,,,,,,,,,,,,,
Construction,55-59,2015,844,350,2,,,,,,,,,,,,,
Construction,60-64,2015,434,165,0,,,,,,,,,,,,,
Construction,65+,2015,370,73,0,,,,,,,,,,,,,
Construction,Not Available,2015,13,0,0,,,,,,,,,,,,,
Education,15-19,2015,268,77,0,,,,,,,,,,,,,
Education,20-24,2015,112,31,0,,,,,,,,,,,,,
Education,25-29,2015,92,25,0,,,,,,,,,,,,,
Education,30-34,2015,86,23,0,,,,,,,,,,,,,
Education,35-39,2015,88,34,0,,,,,,,,,,,,,
Education,40-44,2015,100,43,0,,,,,,,,,,,,,
Education,45-49,2015,136,60,0,,,,,,,,,,,,,
Education,50-54,2015,174,91,0,,,,,,,,,,,,,
Education,55-59,2015,142,68,0,,,,,,,,,,,,,
Education,60-64,2015,76,52,0,,,,,,,,,,,,,
Education,65+,2015,37,13,0,,,,,,,,,,,,,
Education,Not Available,2015,7,0,0,,,,,,,,,,,,,
Electrical,15-19,2015,16,1,0,,,,,,,,,,,,,
Electrical,20-24,2015,155,27,0,,,,,,,,,,,,,
Electrical,25-29,2015,229,47,0,,,,,,,,,,,,,
Electrical,30-34,2015,229,62,0,,,,,,,,,,,,,
Electrical,35-39,2015,151,30,0,,,,,,,,,,,,,
Electrical,40-44,2015,125,36,0,,,,,,,,,,,,,
Electrical,45-49,2015,129,41,0,,,,,,,,,,,,,
Electrical,50-54,2015,171,34,0,,,,,,,,,,,,,
Electrical,55-59,2015,122,34,0,,,,,,,,,,,,,
Electrical,60-64,2015,54,10,0,,,,,,,,,,,,,
Electrical,65+,2015,36,9,0,,,,,,,,,,,,,
Electrical,Not Available,2015,2,0,0,,,,,,,,,,,,,
Food,15-19,2015,83,37,0,,,,,,,,,,,,,
Food,20-24,2015,331,76,0,,,,,,,,,,,,,
Food,25-29,2015,338,81,0,,,,,,,,,,,,,
Food,30-34,2015,362,83,0,,,,,,,,,,,,,
Food,35-39,2015,410,117,0,,,,,,,,,,,,,
Food,40-44,2015,463,131,0,,,,,,,,,,,,,
Food,45-49,2015,509,128,1,,,,,,,,,,,,,
Food,50-54,2015,566,138,0,,,,,,,,,,,,,
Food,55-59,2015,420,135,0,,,,,,,,,,,,,
Food,60-64,2015,266,71,0,,,,,,,,,,,,,
Food,65+,2015,103,26,0,,,,,,,,,,,,,
Food,Not Available,2015,10,0,0,,,,,,,,,,,,,
Forestry,15-19,2015,37,13,0,,,,,,,,,,,,,
Forestry,20-24,2015,77,27,0,,,,,,,,,,,,,
Forestry,25-29,2015,75,15,0,,,,,,,,,,,,,
Forestry,30-34,2015,48,10,0,,,,,,,,,,,,,
Forestry,35-39,2015,40,11,0,,,,,,,,,,,,,
Forestry,40-44,2015,44,9,0,,,,,,,,,,,,,
Forestry,45-49,2015,54,17,0,,,,,,,,,,,,,
Forestry,50-54,2015,70,30,2,,,,,,,,,,,,,
Forestry,55-59,2015,65,18,0,,,,,,,,,,,,,
Forestry,60-64,2015,42,13,0,,,,,,,,,,,,,
Forestry,65+,2015,46,2,0,,,,,,,,,,,,,
Forestry,Not Available,2015,1,0,0,,,,,,,,,,,,,
Health Care,15-19,2015,63,48,0,,,,,,,,,,,,,
Health Care,20-24,2015,959,366,0,,,,,,,,,,,,,
Health Care,25-29,2015,1669,660,1,,,,,,,,,,,,,
Health Care,30-34,2015,1630,692,0,,,,,,,,,,,,,
Health Care,35-39,2015,1517,718,0,,,,,,,,,,,,,
Health Care,40-44,2015,1715,816,0,,,,,,,,,,,,,
Health Care,45-49,2015,1797,877,0,,,,,,,,,,,,,
Health Care,50-54,2015,2173,932,0,,,,,,,,,,,,,
Health Care,55-59,2015,1583,685,0,,,,,,,,,,,,,
Health Care,60-64,2015,861,428,0,,,,,,,,,,,,,
Health Care,65+,2015,257,135,1,,,,,,,,,,,,,
Health Care,Not Available,2015,10,0,0,,,,,,,,,,,,,
Manufacturing,15-19,2015,636,140,0,,,,,,,,,,,,,
Manufacturing,20-24,2015,2194,509,0,,,,,,,,,,,,,
Manufacturing,25-29,2015,2269,561,0,,,,,,,,,,,,,
Manufacturing,30-34,2015,1965,539,0,,,,,,,,,,,,,
