"","Industry","AgeRange","Gender","Year","NLT_Claims","LT_Claims"
"1","Agriculture","15-19","Female","X2011",22,20
"2","Agriculture","15-19","Female","X2012",29,25
"3","Agriculture","15-19","Female","X2013",28,23
"4","Agriculture","15-19","Female","X2014",38,13
"5","Agriculture","15-19","Female","X2015",36,20
"6","Agriculture","15-19","Female","X2016",32,27
"7","Agriculture","15-19","Female","X2017",32,21
"8","Agriculture","15-19","Female","X2018",42,15
"9","Agriculture","15-19","Female","X2019",33,30
"10","Agriculture","15-19","Male","X2011",91,44
"11","Agriculture","15-19","Male","X2012",99,44
"12","Agriculture","15-19","Male","X2013",105,55
"13","Agriculture","15-19","Male","X2014",98,74
"14","Agriculture","15-19","Male","X2015",101,48
"15","Agriculture","15-19","Male","X2016",100,58
"16","Agriculture","15-19","Male","X2017",99,44
"17","Agriculture","15-19","Male","X2018",97,50
"18","Agriculture","15-19","Male","X2019",88,57
"19","Agriculture","20-24","Female","X2011",74,40
"20","Agriculture","20-24","Female","X2012",75,55
"21","Agriculture","20-24","Female","X2013",83,46
"22","Agriculture","20-24","Female","X2014",80,55
"23","Agriculture","20-24","Female","X2015",98,46
"24","Agriculture","20-24","Female","X2016",97,58
"25","Agriculture","20-24","Female","X2017",105,64
"26","Agriculture","20-24","Female","X2018",84,46
"27","Agriculture","20-24","Female","X2019",110,65
"28","Agriculture","20-24","Male","X2011",218,122
"29","Agriculture","20-24","Male","X2012",224,152
"30","Agriculture","20-24","Male","X2013",270,162
"31","Agriculture","20-24","Male","X2014",261,181
"32","Agriculture","20-24","Male","X2015",282,186
"33","Agriculture","20-24","Male","X2016",253,164
"34","Agriculture","20-24","Male","X2017",280,187
"35","Agriculture","20-24","Male","X2018",262,156
"36","Agriculture","20-24","Male","X2019",286,153
"37","Agriculture","25-29","Female","X2011",69,37
"38","Agriculture","25-29","Female","X2012",54,35
"39","Agriculture","25-29","Female","X2013",83,27
"40","Agriculture","25-29","Female","X2014",62,30
"41","Agriculture","25-29","Female","X2015",68,44
"42","Agriculture","25-29","Female","X2016",62,40
"43","Agriculture","25-29","Female","X2017",70,35
"44","Agriculture","25-29","Female","X2018",76,46
"45","Agriculture","25-29","Female","X2019",85,41
"46","Agriculture","25-29","Male","X2011",176,113
"47","Agriculture","25-29","Male","X2012",212,118
"48","Agriculture","25-29","Male","X2013",229,130
"49","Agriculture","25-29","Male","X2014",244,141
"50","Agriculture","25-29","Male","X2015",211,136
"51","Agriculture","25-29","Male","X2016",257,165
"52","Agriculture","25-29","Male","X2017",315,156
"53","Agriculture","25-29","Male","X2018",317,179
"54","Agriculture","25-29","Male","X2019",323,145
"55","Agriculture","30-34","Female","X2011",46,27
"56","Agriculture","30-34","Female","X2012",57,22
"57","Agriculture","30-34","Female","X2013",51,25
"58","Agriculture","30-34","Female","X2014",54,20
"59","Agriculture","30-34","Female","X2015",34,15
"60","Agriculture","30-34","Female","X2016",47,27
"61","Agriculture","30-34","Female","X2017",50,22
"62","Agriculture","30-34","Female","X2018",54,22
"63","Agriculture","30-34","Female","X2019",71,33
"64","Agriculture","30-34","Male","X2011",150,88
"65","Agriculture","30-34","Male","X2012",168,103
"66","Agriculture","30-34","Male","X2013",187,132
"67","Agriculture","30-34","Male","X2014",161,137
"68","Agriculture","30-34","Male","X2015",173,123
"69","Agriculture","30-34","Male","X2016",221,129
"70","Agriculture","30-34","Male","X2017",247,133
"71","Agriculture","30-34","Male","X2018",250,137
"72","Agriculture","30-34","Male","X2019",274,159
"73","Agriculture","35-39","Female","X2011",24,23
"74","Agriculture","35-39","Female","X2012",29,30
"75","Agriculture","35-39","Female","X2013",40,22
"76","Agriculture","35-39","Female","X2014",47,22
"77","Agriculture","35-39","Female","X2015",45,14
"78","Agriculture","35-39","Female","X2016",29,18
"79","Agriculture","35-39","Female","X2017",25,21
"80","Agriculture","35-39","Female","X2018",41,20
"81","Agriculture","35-39","Female","X2019",58,27
"82","Agriculture","35-39","Male","X2011",148,79
"83","Agriculture","35-39","Male","X2012",123,83
"84","Agriculture","35-39","Male","X2013",174,88
"85","Agriculture","35-39","Male","X2014",159,99
"86","Agriculture","35-39","Male","X2015",157,89
"87","Agriculture","35-39","Male","X2016",175,100
"88","Agriculture","35-39","Male","X2017",211,105
"89","Agriculture","35-39","Male","X2018",186,105
"90","Agriculture","35-39","Male","X2019",203,112
"91","Agriculture","40-44","Female","X2011",31,19
"92","Agriculture","40-44","Female","X2012",40,21
"93","Agriculture","40-44","Female","X2013",46,26
"94","Agriculture","40-44","Female","X2014",30,8
"95","Agriculture","40-44","Female","X2015",39,15
"96","Agriculture","40-44","Female","X2016",28,19
"97","Agriculture","40-44","Female","X2017",37,20
"98","Agriculture","40-44","Female","X2018",31,20
"99","Agriculture","40-44","Female","X2019",43,17
"100","Agriculture","40-44","Male","X2011",121,81
"101","Agriculture","40-44","Male","X2012",116,93
"102","Agriculture","40-44","Male","X2013",136,107
"103","Agriculture","40-44","Male","X2014",146,95
"104","Agriculture","40-44","Male","X2015",148,92
"105","Agriculture","40-44","Male","X2016",157,91
"106","Agriculture","40-44","Male","X2017",163,99
"107","Agriculture","40-44","Male","X2018",165,110
"108","Agriculture","40-44","Male","X2019",174,90
"109","Agriculture","45-49","Female","X2011",44,23
"110","Agriculture","45-49","Female","X2012",48,27
"111","Agriculture","45-49","Female","X2013",29,27
"112","Agriculture","45-49","Female","X2014",37,22
"113","Agriculture","45-49","Female","X2015",25,27
"114","Agriculture","45-49","Female","X2016",45,18
"115","Agriculture","45-49","Female","X2017",30,21
"116","Agriculture","45-49","Female","X2018",36,17
"117","Agriculture","45-49","Female","X2019",35,31
"118","Agriculture","45-49","Male","X2011",126,80
"119","Agriculture","45-49","Male","X2012",109,86
"120","Agriculture","45-49","Male","X2013",122,89
"121","Agriculture","45-49","Male","X2014",120,78
"122","Agriculture","45-49","Male","X2015",127,85
"123","Agriculture","45-49","Male","X2016",135,70
"124","Agriculture","45-49","Male","X2017",150,85
"125","Agriculture","45-49","Male","X2018",126,67
"126","Agriculture","45-49","Male","X2019",138,77
"127","Agriculture","50-54","Female","X2011",43,21
"128","Agriculture","50-54","Female","X2012",35,27
"129","Agriculture","50-54","Female","X2013",29,24
"130","Agriculture","50-54","Female","X2014",35,27
"131","Agriculture","50-54","Female","X2015",44,19
"132","Agriculture","50-54","Female","X2016",31,18
"133","Agriculture","50-54","Female","X2017",50,14
"134","Agriculture","50-54","Female","X2018",39,23
"135","Agriculture","50-54","Female","X2019",40,27
"136","Agriculture","50-54","Male","X2011",79,60
"137","Agriculture","50-54","Male","X2012",100,59
"138","Agriculture","50-54","Male","X2013",97,72
"139","Agriculture","50-54","Male","X2014",108,62
"140","Agriculture","50-54","Male","X2015",112,76
"141","Agriculture","50-54","Male","X2016",103,90
"142","Agriculture","50-54","Male","X2017",118,70
"143","Agriculture","50-54","Male","X2018",131,66
"144","Agriculture","50-54","Male","X2019",125,70
"145","Agriculture","55-59","Female","X2011",22,7
"146","Agriculture","55-59","Female","X2012",27,9
"147","Agriculture","55-59","Female","X2013",29,20
"148","Agriculture","55-59","Female","X2014",23,22
"149","Agriculture","55-59","Female","X2015",29,15
"150","Agriculture","55-59","Female","X2016",35,27
"151","Agriculture","55-59","Female","X2017",35,20
"152","Agriculture","55-59","Female","X2018",51,32
"153","Agriculture","55-59","Female","X2019",37,17
"154","Agriculture","55-59","Male","X2011",59,36
"155","Agriculture","55-59","Male","X2012",52,51
"156","Agriculture","55-59","Male","X2013",60,51
"157","Agriculture","55-59","Male","X2014",83,52
"158","Agriculture","55-59","Male","X2015",74,47
"159","Agriculture","55-59","Male","X2016",84,51
"160","Agriculture","55-59","Male","X2017",87,58
"161","Agriculture","55-59","Male","X2018",109,59
"162","Agriculture","55-59","Male","X2019",119,69
"163","Agriculture","60-64","Female","X2011",9,8
"164","Agriculture","60-64","Female","X2012",15,2
"165","Agriculture","60-64","Female","X2013",11,7
"166","Agriculture","60-64","Female","X2014",14,9
"167","Agriculture","60-64","Female","X2015",7,11
"168","Agriculture","60-64","Female","X2016",7,7
"169","Agriculture","60-64","Female","X2017",17,11
"170","Agriculture","60-64","Female","X2018",13,13
"171","Agriculture","60-64","Female","X2019",21,6
"172","Agriculture","60-64","Male","X2011",37,23
"173","Agriculture","60-64","Male","X2012",48,20
"174","Agriculture","60-64","Male","X2013",49,38
"175","Agriculture","60-64","Male","X2014",54,34
"176","Agriculture","60-64","Male","X2015",56,28
"177","Agriculture","60-64","Male","X2016",37,41
"178","Agriculture","60-64","Male","X2017",59,39
"179","Agriculture","60-64","Male","X2018",47,50
"180","Agriculture","60-64","Male","X2019",64,45
"181","Agriculture","65+","Female","X2011",3,5
"182","Agriculture","65+","Female","X2012",5,2
"183","Agriculture","65+","Female","X2013",2,4
"184","Agriculture","65+","Female","X2014",3,1
"185","Agriculture","65+","Female","X2015",3,2
"186","Agriculture","65+","Female","X2016",4,3
"187","Agriculture","65+","Female","X2017",7,5
"188","Agriculture","65+","Female","X2018",8,2
"189","Agriculture","65+","Female","X2019",9,1
"190","Agriculture","65+","Male","X2011",16,8
"191","Agriculture","65+","Male","X2012",22,13
"192","Agriculture","65+","Male","X2013",32,8
"193","Agriculture","65+","Male","X2014",27,15
"194","Agriculture","65+","Male","X2015",31,16
"195","Agriculture","65+","Male","X2016",29,22
"196","Agriculture","65+","Male","X2017",31,19
"197","Agriculture","65+","Male","X2018",36,22
"198","Agriculture","65+","Male","X2019",54,24
"199","Automotive","15-19","Female","X2011",27,6
"200","Automotive","15-19","Female","X2012",49,6
"201","Automotive","15-19","Female","X2013",30,8
"202","Automotive","15-19","Female","X2014",46,12
"203","Automotive","15-19","Female","X2015",59,9
"204","Automotive","15-19","Female","X2016",63,12
"205","Automotive","15-19","Female","X2017",55,9
"206","Automotive","15-19","Female","X2018",51,11
"207","Automotive","15-19","Female","X2019",47,9
"208","Automotive","15-19","Male","X2011",105,23
"209","Automotive","15-19","Male","X2012",110,32
"210","Automotive","15-19","Male","X2013",105,17
"211","Automotive","15-19","Male","X2014",139,20
"212","Automotive","15-19","Male","X2015",124,18
"213","Automotive","15-19","Male","X2016",161,34
"214","Automotive","15-19","Male","X2017",111,10
"215","Automotive","15-19","Male","X2018",144,28
"216","Automotive","15-19","Male","X2019",129,17
"217","Automotive","20-24","Female","X2011",116,20
"218","Automotive","20-24","Female","X2012",210,26
"219","Automotive","20-24","Female","X2013",144,34
"220","Automotive","20-24","Female","X2014",195,35
"221","Automotive","20-24","Female","X2015",209,25
"222","Automotive","20-24","Female","X2016",261,50
"223","Automotive","20-24","Female","X2017",281,42
"224","Automotive","20-24","Female","X2018",241,30
"225","Automotive","20-24","Female","X2019",219,35
"226","Automotive","20-24","Male","X2011",440,103
"227","Automotive","20-24","Male","X2012",578,96
"228","Automotive","20-24","Male","X2013",503,100
"229","Automotive","20-24","Male","X2014",506,79
"230","Automotive","20-24","Male","X2015",584,85
"231","Automotive","20-24","Male","X2016",636,91
"232","Automotive","20-24","Male","X2017",609,85
"233","Automotive","20-24","Male","X2018",592,129
"234","Automotive","20-24","Male","X2019",541,88
"235","Automotive","25-29","Female","X2011",132,29
"236","Automotive","25-29","Female","X2012",152,28
"237","Automotive","25-29","Female","X2013",146,40
"238","Automotive","25-29","Female","X2014",140,26
"239","Automotive","25-29","Female","X2015",185,21
"240","Automotive","25-29","Female","X2016",229,33
"241","Automotive","25-29","Female","X2017",236,38
