Geography 2 3,Age group,Reference period,Persons(1000s)
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 years and over,2015,191.1
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 years and over,2016,186.6
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 years and over,2017,188.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 years and over,2018,190.6
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 years and over,2019,192.9
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 to 24 years,2015,30.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 to 24 years,2016,28.4
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 to 24 years,2017,27.5
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 to 24 years,2018,28
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",15 to 24 years,2019,29.9
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 years and over,2015,160.4
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 years and over,2016,158.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 years and over,2017,160.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 years and over,2018,162.6
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 years and over,2019,163
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 44 years,2015,87.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 44 years,2016,85.5
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 44 years,2017,85.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 44 years,2018,84.4
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 44 years,2019,87.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45 years and over,2015,73.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45 years and over,2016,72.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45 years and over,2017,75.4
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45 years and over,2018,78.1
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",45 years and over,2019,75.8
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 54 years,2015,131.1
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 54 years,2016,131.9
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 54 years,2017,128.5
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 54 years,2018,125.9
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",25 to 54 years,2019,131.2
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 years and over,2015,29.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 years and over,2016,26.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 years and over,2017,32.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 years and over,2018,36.6
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 years and over,2019,31.8
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 to 64 years,2015,25.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 to 64 years,2016,22.8
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 to 64 years,2017,27
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 to 64 years,2018,30.9
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",55 to 64 years,2019,26.5
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",65 years and over,2015,3.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",65 years and over,2016,3.6
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",65 years and over,2017,5.3
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",65 years and over,2018,5.7
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",65 years and over,2019,5.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",15 years and over,2015,564
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",15 years and over,2016,579.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",15 years and over,2017,580.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",15 years and over,2018,586.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",15 years and over,2019,617.7
