Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agriculture,15-19,Female,20,25,23,13,20,27,21,15,30
Agriculture,15-19,Male,44,44,55,74,48,58,44,50,57
Agriculture,20-24,Female,40,55,46,55,46,58,64,46,65
Agriculture,20-24,Male,122,152,162,181,186,164,187,156,153
Agriculture,25-29,Female,37,35,27,30,44,40,35,46,41
Agriculture,25-29,Male,113,118,130,141,136,165,156,179,145
Agriculture,30-34,Female,27,22,25,20,15,27,22,22,33
Agriculture,30-34,Male,88,103,132,137,123,129,133,137,159
Agriculture,35-39,Female,23,30,22,22,14,18,21,20,27
Agriculture,35-39,Male,79,83,88,99,89,100,105,105,112
Agriculture,40-44,Female,19,21,26,8,15,19,20,20,17
Agriculture,40-44,Male,81,93,107,95,92,91,99,110,90
Agriculture,45-49,Female,23,27,27,22,27,18,21,17,31
Agriculture,45-49,Male,80,86,89,78,85,70,85,67,77
Agriculture,50-54,Female,21,27,24,27,19,18,14,23,27
Agriculture,50-54,Male,60,59,72,62,76,90,70,66,70
Agriculture,55-59,Female,7,9,20,22,15,27,20,32,17
Agriculture,55-59,Male,36,51,51,52,47,51,58,59,69
Agriculture,60-64,Female,8,2,7,9,11,7,11,13,6
Agriculture,60-64,Male,23,20,38,34,28,41,39,50,45
Agriculture,65+,Female,5,2,4,1,2,3,5,2,1
Agriculture,65+,Male,8,13,8,15,16,22,19,22,24
Automotive,15-19,Female,6,6,8,12,9,12,9,11,9
Automotive,15-19,Male,23,32,17,20,18,34,10,28,17
Automotive,20-24,Female,20,26,34,35,25,50,42,30,35
Automotive,20-24,Male,103,96,100,79,85,91,85,129,88
Automotive,25-29,Female,29,28,40,26,21,33,38,52,34
Automotive,25-29,Male,110,89,93,94,81,94,124,149,106
Automotive,30-34,Female,49,28,40,46,35,42,45,29,43
Automotive,30-34,Male,129,126,127,115,80,104,104,118,83
Automotive,35-39,Female,64,75,47,49,33,53,45,43,38
Automotive,35-39,Male,180,176,131,137,114,139,125,137,96
Automotive,40-44,Female,96,76,77,77,61,70,72,56,35
Automotive,40-44,Male,217,213,172,156,131,149,130,158,100
Automotive,45-49,Female,129,96,83,86,63,81,94,73,57
Automotive,45-49,Male,265,250,214,154,155,173,159,170,132
Automotive,50-54,Female,72,86,79,88,89,75,73,85,80
Automotive,50-54,Male,211,243,164,188,161,200,159,178,163
Automotive,55-59,Female,63,47,41,38,46,60,55,82,72
