Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agriculture,15-19,Female,22,29,28,38,36,32,32,42,33
Agriculture,15-19,Male,91,99,105,98,101,100,99,97,88
Agriculture,20-24,Female,74,75,83,80,98,97,105,84,110
Agriculture,20-24,Male,218,224,270,261,282,253,280,262,286
Agriculture,25-29,Female,69,54,83,62,68,62,70,76,85
Agriculture,25-29,Male,176,212,229,244,211,257,315,317,323
Agriculture,30-34,Female,46,57,51,54,34,47,50,54,71
Agriculture,30-34,Male,150,168,187,161,173,221,247,250,274
Agriculture,35-39,Female,24,29,40,47,45,29,25,41,58
Agriculture,35-39,Male,148,123,174,159,157,175,211,186,203
Agriculture,40-44,Female,31,40,46,30,39,28,37,31,43
Agriculture,40-44,Male,121,116,136,146,148,157,163,165,174
Agriculture,45-49,Female,44,48,29,37,25,45,30,36,35
Agriculture,45-49,Male,126,109,122,120,127,135,150,126,138
Agriculture,50-54,Female,43,35,29,35,44,31,50,39,40
Agriculture,50-54,Male,79,100,97,108,112,103,118,131,125
Agriculture,55-59,Female,22,27,29,23,29,35,35,51,37
Agriculture,55-59,Male,59,52,60,83,74,84,87,109,119
Agriculture,60-64,Female,9,15,11,14,7,7,17,13,21
Agriculture,60-64,Male,37,48,49,54,56,37,59,47,64
Agriculture,65+,Female,3,5,2,3,3,4,7,8,9
Agriculture,65+,Male,16,22,32,27,31,29,31,36,54
Automotive,15-19,Female,27,49,30,46,59,63,55,51,47
Automotive,15-19,Male,105,110,105,139,124,161,111,144,129
Automotive,20-24,Female,116,210,144,195,209,261,281,241,219
Automotive,20-24,Male,440,578,503,506,584,636,609,592,541
Automotive,25-29,Female,132,152,146,140,185,229,236,208,233
Automotive,25-29,Male,523,560,539,539,552,628,646,696,571
Automotive,30-34,Female,197,224,197,189,180,200,190,193,177
Automotive,30-34,Male,698,711,613,547,623,632,596,572,513
Automotive,35-39,Female,309,275,294,231,205,227,221,223,225
Automotive,35-39,Male,813,828,716,683,653,657,576,620,509
Automotive,40-44,Female,327,369,344,319,307,299,279,262,299
Automotive,40-44,Male,918,841,876,850,690,663,664,601,568
Automotive,45-49,Female,425,426,430,371,298,306,377,342,325
Automotive,45-49,Male,1086,1025,989,864,794,791,704,703,580
Automotive,50-54,Female,363,380,378,398,385,348,363,373,316
Automotive,50-54,Male,879,926,916,899,827,737,761,742,652
Automotive,55-59,Female,178,196,206,215,229,241,256,273,268
Automotive,55-59,Male,456,530,527,587,609,552,607,604,609
Automotive,60-64,Female,47,66,81,92,91,97,110,104,148
Automotive,60-64,Male,212,221,243,261,265,275,305,333,315
Automotive,65+,Female,6,15,7,21,15,23,21,29,31
Automotive,65+,Male,70,60,76,104,116,98,150,160,167
Chemicals/Process,15-19,Female,2,6,3,6,2,10,10,11,8
Chemicals/Process,15-19,Male,27,36,28,30,31,31,26,46,31
Chemicals/Process,20-24,Female,28,25,28,28,50,28,42,73,52
Chemicals/Process,20-24,Male,143,139,129,131,126,136,152,150,151
Chemicals/Process,25-29,Female,40,38,36,43,39,40,44,70,77
Chemicals/Process,25-29,Male,163,166,150,155,152,170,203,194,195
Chemicals/Process,30-34,Female,45,48,53,48,44,36,61,45,59
Chemicals/Process,30-34,Male,179,209,173,183,170,154,186,180,182
